
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=2.867185e+04 cycle=64000 time=5.687441e-03 dt=4.396207e-10
elapsed=2.911908e+04 cycle=65000 time=5.687882e-03 dt=4.431245e-10
elapsed=2.956628e+04 cycle=66000 time=5.688327e-03 dt=4.456943e-10
elapsed=3.001355e+04 cycle=67000 time=5.688773e-03 dt=4.465477e-10
elapsed=3.046076e+04 cycle=68000 time=5.689220e-03 dt=4.485716e-10
elapsed=3.090799e+04 cycle=69000 time=5.689670e-03 dt=4.511962e-10
elapsed=3.135529e+04 cycle=70000 time=5.690122e-03 dt=4.532361e-10
elapsed=3.180255e+04 cycle=71000 time=5.690577e-03 dt=4.565282e-10
elapsed=3.224980e+04 cycle=72000 time=5.691036e-03 dt=4.623007e-10
elapsed=3.269706e+04 cycle=73000 time=5.691499e-03 dt=4.633770e-10
elapsed=3.314430e+04 cycle=74000 time=5.691963e-03 dt=4.643991e-10
elapsed=3.359151e+04 cycle=75000 time=5.692428e-03 dt=4.649741e-10
elapsed=3.403867e+04 cycle=76000 time=5.692893e-03 dt=4.664347e-10
elapsed=3.448585e+04 cycle=77000 time=5.693360e-03 dt=4.677660e-10
elapsed=3.493304e+04 cycle=78000 time=5.693828e-03 dt=4.678232e-10
elapsed=3.538024e+04 cycle=79000 time=5.694296e-03 dt=4.685530e-10
elapsed=3.582746e+04 cycle=80000 time=5.694766e-03 dt=4.700954e-10
elapsed=3.627463e+04 cycle=81000 time=5.695236e-03 dt=4.711272e-10
elapsed=3.672176e+04 cycle=82000 time=5.695708e-03 dt=4.721590e-10
elapsed=3.716893e+04 cycle=83000 time=5.696181e-03 dt=4.738994e-10
elapsed=3.761609e+04 cycle=84000 time=5.696656e-03 dt=4.755081e-10
elapsed=3.806332e+04 cycle=85000 time=5.697132e-03 dt=4.771941e-10
elapsed=3.851049e+04 cycle=86000 time=5.697610e-03 dt=4.789907e-10
elapsed=3.895765e+04 cycle=87000 time=5.698090e-03 dt=4.806414e-10
elapsed=3.940489e+04 cycle=88000 time=5.698572e-03 dt=4.825530e-10
elapsed=3.985214e+04 cycle=89000 time=5.699055e-03 dt=4.836404e-10
elapsed=4.029936e+04 cycle=90000 time=5.699539e-03 dt=4.837742e-10
elapsed=4.074658e+04 cycle=91000 time=5.700022e-03 dt=4.832723e-10
elapsed=4.119381e+04 cycle=92000 time=5.700505e-03 dt=4.825779e-10
elapsed=4.164103e+04 cycle=93000 time=5.700987e-03 dt=4.812104e-10
elapsed=4.208823e+04 cycle=94000 time=5.701467e-03 dt=4.781635e-10
elapsed=4.253544e+04 cycle=95000 time=5.701943e-03 dt=4.727396e-10
elapsed=4.298268e+04 cycle=96000 time=5.702412e-03 dt=4.652090e-10
elapsed=4.342987e+04 cycle=97000 time=5.702872e-03 dt=4.553865e-10
elapsed=4.387704e+04 cycle=98000 time=5.703322e-03 dt=4.454070e-10
elapsed=4.432421e+04 cycle=99000 time=5.703764e-03 dt=4.384158e-10
elapsed=4.477140e+04 cycle=100000 time=5.704204e-03 dt=4.440258e-10
elapsed=4.521869e+04 cycle=101000 time=5.704654e-03 dt=4.527385e-10
elapsed=4.566600e+04 cycle=102000 time=5.705103e-03 dt=4.493439e-10
elapsed=4.611323e+04 cycle=103000 time=5.705564e-03 dt=4.715611e-10
elapsed=4.656039e+04 cycle=104000 time=5.706036e-03 dt=4.733268e-10
elapsed=4.700747e+04 cycle=105000 time=5.706510e-03 dt=4.745425e-10
elapsed=4.745458e+04 cycle=106000 time=5.706984e-03 dt=4.738659e-10
elapsed=4.790173e+04 cycle=107000 time=5.707458e-03 dt=4.731264e-10
elapsed=4.834888e+04 cycle=108000 time=5.707931e-03 dt=4.732542e-10
elapsed=4.879600e+04 cycle=109000 time=5.708406e-03 dt=4.770804e-10
elapsed=4.924315e+04 cycle=110000 time=5.708885e-03 dt=4.816414e-10
elapsed=4.969029e+04 cycle=111000 time=5.709369e-03 dt=4.863618e-10
elapsed=5.013744e+04 cycle=112000 time=5.709858e-03 dt=4.907863e-10
elapsed=5.058463e+04 cycle=113000 time=5.710350e-03 dt=4.941569e-10
elapsed=5.103185e+04 cycle=114000 time=5.710846e-03 dt=4.968977e-10
elapsed=5.147912e+04 cycle=115000 time=5.711343e-03 dt=4.975270e-10
elapsed=5.192637e+04 cycle=116000 time=5.711841e-03 dt=4.987592e-10
elapsed=5.237366e+04 cycle=117000 time=5.712341e-03 dt=5.002538e-10
elapsed=5.282090e+04 cycle=118000 time=5.712842e-03 dt=5.018604e-10
elapsed=5.326815e+04 cycle=119000 time=5.713345e-03 dt=5.039131e-10
elapsed=5.371536e+04 cycle=120000 time=5.713850e-03 dt=5.059122e-10
elapsed=5.416260e+04 cycle=121000 time=5.714356e-03 dt=5.075100e-10
elapsed=5.460987e+04 cycle=122000 time=5.714865e-03 dt=5.090318e-10
elapsed=5.505712e+04 cycle=123000 time=5.715374e-03 dt=5.103014e-10
elapsed=5.550437e+04 cycle=124000 time=5.715885e-03 dt=5.114493e-10
elapsed=5.595164e+04 cycle=125000 time=5.716397e-03 dt=5.126196e-10
elapsed=5.639891e+04 cycle=126000 time=5.716910e-03 dt=5.136580e-10
elapsed=5.684613e+04 cycle=127000 time=5.717424e-03 dt=5.144849e-10
elapsed=5.729336e+04 cycle=128000 time=5.717939e-03 dt=5.152159e-10
elapsed=5.774062e+04 cycle=129000 time=5.718455e-03 dt=5.160603e-10
elapsed=5.818784e+04 cycle=130000 time=5.718972e-03 dt=5.171544e-10
elapsed=5.863506e+04 cycle=131000 time=5.719489e-03 dt=5.185880e-10
elapsed=5.908229e+04 cycle=132000 time=5.720009e-03 dt=5.202923e-10
elapsed=5.952947e+04 cycle=133000 time=5.720530e-03 dt=5.222032e-10
elapsed=5.997666e+04 cycle=134000 time=5.721053e-03 dt=5.244900e-10
elapsed=6.042377e+04 cycle=135000 time=5.721579e-03 dt=5.272935e-10
elapsed=6.087089e+04 cycle=136000 time=5.722108e-03 dt=5.294592e-10
elapsed=6.131804e+04 cycle=137000 time=5.722638e-03 dt=5.317152e-10
elapsed=6.176520e+04 cycle=138000 time=5.723171e-03 dt=5.339658e-10
elapsed=6.221230e+04 cycle=139000 time=5.723706e-03 dt=5.359700e-10
elapsed=6.265944e+04 cycle=140000 time=5.724243e-03 dt=5.374521e-10
elapsed=6.310656e+04 cycle=141000 time=5.724781e-03 dt=5.385481e-10
elapsed=6.355372e+04 cycle=142000 time=5.725320e-03 dt=5.394117e-10
elapsed=6.400089e+04 cycle=143000 time=5.725860e-03 dt=5.399733e-10
elapsed=6.444809e+04 cycle=144000 time=5.726400e-03 dt=5.403239e-10
elapsed=6.489530e+04 cycle=145000 time=5.726940e-03 dt=5.405879e-10
elapsed=6.534251e+04 cycle=146000 time=5.727481e-03 dt=5.409184e-10
elapsed=6.578975e+04 cycle=147000 time=5.728022e-03 dt=5.413656e-10
elapsed=6.623699e+04 cycle=148000 time=5.728564e-03 dt=5.421007e-10
elapsed=6.668423e+04 cycle=149000 time=5.729106e-03 dt=5.431971e-10
elapsed=6.713151e+04 cycle=150000 time=5.729650e-03 dt=5.444356e-10
elapsed=6.757875e+04 cycle=151000 time=5.730195e-03 dt=5.458726e-10
elapsed=6.802601e+04 cycle=152000 time=5.730742e-03 dt=5.475169e-10
elapsed=6.847332e+04 cycle=153000 time=5.731290e-03 dt=5.493203e-10
elapsed=6.892058e+04 cycle=154000 time=5.731841e-03 dt=5.512228e-10
elapsed=6.936786e+04 cycle=155000 time=5.732393e-03 dt=5.531911e-10
elapsed=6.981509e+04 cycle=156000 time=5.732947e-03 dt=5.551616e-10
elapsed=7.026236e+04 cycle=157000 time=5.733503e-03 dt=5.570210e-10
elapsed=7.070961e+04 cycle=158000 time=5.734061e-03 dt=5.587739e-10
elapsed=7.115686e+04 cycle=159000 time=5.734621e-03 dt=5.603999e-10
elapsed=7.160416e+04 cycle=160000 time=5.735182e-03 dt=5.618512e-10
elapsed=7.205143e+04 cycle=161000 time=5.735744e-03 dt=5.631505e-10
elapsed=7.249871e+04 cycle=162000 time=5.736308e-03 dt=5.643364e-10
elapsed=7.294602e+04 cycle=163000 time=5.736873e-03 dt=5.654534e-10
elapsed=7.339332e+04 cycle=164000 time=5.737439e-03 dt=5.665349e-10
elapsed=7.384065e+04 cycle=165000 time=5.738006e-03 dt=5.676205e-10
elapsed=7.428795e+04 cycle=166000 time=5.738574e-03 dt=5.687139e-10
elapsed=7.473524e+04 cycle=167000 time=5.739143e-03 dt=5.697047e-10
elapsed=7.518252e+04 cycle=168000 time=5.739714e-03 dt=5.705883e-10
elapsed=7.562981e+04 cycle=169000 time=5.740285e-03 dt=5.714151e-10
elapsed=7.607711e+04 cycle=170000 time=5.740856e-03 dt=5.722003e-10
elapsed=7.652442e+04 cycle=171000 time=5.741429e-03 dt=5.729741e-10
elapsed=7.697172e+04 cycle=172000 time=5.742002e-03 dt=5.736781e-10
elapsed=7.741903e+04 cycle=173000 time=5.742576e-03 dt=5.743355e-10
elapsed=7.786628e+04 cycle=174000 time=5.743151e-03 dt=5.749362e-10
elapsed=7.831356e+04 cycle=175000 time=5.743726e-03 dt=5.754708e-10
elapsed=7.876087e+04 cycle=176000 time=5.744302e-03 dt=5.759030e-10
elapsed=7.920816e+04 cycle=177000 time=5.744878e-03 dt=5.762693e-10
elapsed=7.965543e+04 cycle=178000 time=5.745454e-03 dt=5.766259e-10
elapsed=8.010262e+04 cycle=179000 time=5.746031e-03 dt=5.769696e-10
elapsed=8.054990e+04 cycle=180000 time=5.746608e-03 dt=5.773007e-10
elapsed=8.099715e+04 cycle=181000 time=5.747186e-03 dt=5.776134e-10
elapsed=8.144445e+04 cycle=182000 time=5.747763e-03 dt=5.779039e-10
elapsed=8.189174e+04 cycle=183000 time=5.748342e-03 dt=5.782004e-10
elapsed=8.233900e+04 cycle=184000 time=5.748920e-03 dt=5.785267e-10
elapsed=8.278625e+04 cycle=185000 time=5.749499e-03 dt=5.788871e-10
elapsed=8.323349e+04 cycle=186000 time=5.750078e-03 dt=5.792715e-10
elapsed=8.368071e+04 cycle=187000 time=5.750657e-03 dt=5.796603e-10
