
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=2.849998e+04 cycle=64000 time=5.171258e-03 dt=2.059694e-28
elapsed=2.894495e+04 cycle=65000 time=5.171258e-03 dt=2.139153e-28
elapsed=2.938990e+04 cycle=66000 time=5.171258e-03 dt=2.204674e-28
elapsed=2.983489e+04 cycle=67000 time=5.171258e-03 dt=2.243606e-28
elapsed=3.027991e+04 cycle=68000 time=5.171258e-03 dt=2.288042e-28
elapsed=3.072495e+04 cycle=69000 time=5.171258e-03 dt=2.354977e-28
elapsed=3.117002e+04 cycle=70000 time=5.171258e-03 dt=2.468453e-28
elapsed=3.161508e+04 cycle=71000 time=5.171258e-03 dt=2.666994e-28
elapsed=3.206017e+04 cycle=72000 time=5.171258e-03 dt=3.035268e-28
elapsed=3.250524e+04 cycle=73000 time=5.171258e-03 dt=3.428188e-28
elapsed=3.295029e+04 cycle=74000 time=5.171258e-03 dt=4.034014e-28
elapsed=3.339541e+04 cycle=75000 time=5.171258e-03 dt=4.866745e-28
elapsed=3.384060e+04 cycle=76000 time=5.171258e-03 dt=5.705676e-28
elapsed=3.428585e+04 cycle=77000 time=5.171258e-03 dt=6.513220e-28
elapsed=3.473123e+04 cycle=78000 time=5.171258e-03 dt=7.437837e-28
elapsed=3.517665e+04 cycle=79000 time=5.171258e-03 dt=8.486958e-28
elapsed=3.562208e+04 cycle=80000 time=5.171258e-03 dt=1.005838e-27
elapsed=3.606752e+04 cycle=81000 time=5.171258e-03 dt=1.129459e-27
elapsed=3.651281e+04 cycle=82000 time=5.171258e-03 dt=1.194059e-27
elapsed=3.695793e+04 cycle=83000 time=5.171258e-03 dt=1.324639e-27
elapsed=3.740279e+04 cycle=84000 time=5.171258e-03 dt=1.500317e-27
elapsed=3.784750e+04 cycle=85000 time=5.171258e-03 dt=1.652186e-27
elapsed=3.829204e+04 cycle=86000 time=5.171258e-03 dt=1.808250e-27
elapsed=3.873657e+04 cycle=87000 time=5.171258e-03 dt=1.876265e-27
elapsed=3.918111e+04 cycle=88000 time=5.171258e-03 dt=1.967388e-27
elapsed=3.962558e+04 cycle=89000 time=5.171258e-03 dt=2.176321e-27
elapsed=4.007003e+04 cycle=90000 time=5.171258e-03 dt=2.474052e-27
elapsed=4.051453e+04 cycle=91000 time=5.171258e-03 dt=2.680909e-27
elapsed=4.095901e+04 cycle=92000 time=5.171258e-03 dt=2.801603e-27
elapsed=4.140356e+04 cycle=93000 time=5.171258e-03 dt=2.918257e-27
elapsed=4.184813e+04 cycle=94000 time=5.171258e-03 dt=2.953041e-27
elapsed=4.229272e+04 cycle=95000 time=5.171258e-03 dt=3.019095e-27
elapsed=4.273729e+04 cycle=96000 time=5.171258e-03 dt=3.181940e-27
elapsed=4.318188e+04 cycle=97000 time=5.171258e-03 dt=3.456054e-27
elapsed=4.362643e+04 cycle=98000 time=5.171258e-03 dt=3.797847e-27
elapsed=4.407095e+04 cycle=99000 time=5.171258e-03 dt=3.996217e-27
elapsed=4.451543e+04 cycle=100000 time=5.171258e-03 dt=4.211141e-27
elapsed=4.495991e+04 cycle=101000 time=5.171258e-03 dt=4.377582e-27
elapsed=4.540437e+04 cycle=102000 time=5.171258e-03 dt=4.492343e-27
elapsed=4.584880e+04 cycle=103000 time=5.171258e-03 dt=4.608412e-27
elapsed=4.629318e+04 cycle=104000 time=5.171258e-03 dt=4.675337e-27
elapsed=4.673749e+04 cycle=105000 time=5.171258e-03 dt=4.749765e-27
elapsed=4.718183e+04 cycle=106000 time=5.171258e-03 dt=4.901942e-27
elapsed=4.762618e+04 cycle=107000 time=5.171258e-03 dt=5.079802e-27
elapsed=4.807058e+04 cycle=108000 time=5.171258e-03 dt=5.255309e-27
elapsed=4.851499e+04 cycle=109000 time=5.171258e-03 dt=5.479239e-27
elapsed=4.895945e+04 cycle=110000 time=5.171258e-03 dt=5.733853e-27
elapsed=4.940394e+04 cycle=111000 time=5.171258e-03 dt=5.873681e-27
elapsed=4.984849e+04 cycle=112000 time=5.171258e-03 dt=5.936719e-27
elapsed=5.029305e+04 cycle=113000 time=5.171258e-03 dt=5.998725e-27
elapsed=5.073765e+04 cycle=114000 time=5.171258e-03 dt=6.100724e-27
elapsed=5.118225e+04 cycle=115000 time=5.171258e-03 dt=6.230996e-27
elapsed=5.162694e+04 cycle=116000 time=5.171258e-03 dt=6.315216e-27
elapsed=5.207161e+04 cycle=117000 time=5.171258e-03 dt=6.365714e-27
elapsed=5.251630e+04 cycle=118000 time=5.171258e-03 dt=6.472056e-27
elapsed=5.296099e+04 cycle=119000 time=5.171258e-03 dt=6.643934e-27
elapsed=5.340570e+04 cycle=120000 time=5.171258e-03 dt=6.860579e-27
elapsed=5.385046e+04 cycle=121000 time=5.171258e-03 dt=7.113141e-27
elapsed=5.429521e+04 cycle=122000 time=5.171258e-03 dt=7.436186e-27
elapsed=5.473997e+04 cycle=123000 time=5.171258e-03 dt=7.601557e-27
elapsed=5.518473e+04 cycle=124000 time=5.171258e-03 dt=7.783366e-27
elapsed=5.562948e+04 cycle=125000 time=5.171258e-03 dt=8.020152e-27
elapsed=5.607426e+04 cycle=126000 time=5.171258e-03 dt=8.246472e-27
elapsed=5.651905e+04 cycle=127000 time=5.171258e-03 dt=8.603252e-27
elapsed=5.696386e+04 cycle=128000 time=5.171258e-03 dt=8.948490e-27
elapsed=5.740857e+04 cycle=129000 time=5.171258e-03 dt=9.232917e-27
elapsed=5.785324e+04 cycle=130000 time=5.171258e-03 dt=9.556308e-27
elapsed=5.829792e+04 cycle=131000 time=5.171258e-03 dt=9.950872e-27
elapsed=5.874260e+04 cycle=132000 time=5.171258e-03 dt=1.026434e-26
elapsed=5.918721e+04 cycle=133000 time=5.171258e-03 dt=1.047916e-26
elapsed=5.963187e+04 cycle=134000 time=5.171258e-03 dt=1.072104e-26
elapsed=6.007651e+04 cycle=135000 time=5.171258e-03 dt=1.097687e-26
elapsed=6.052117e+04 cycle=136000 time=5.171258e-03 dt=1.123761e-26
elapsed=6.096586e+04 cycle=137000 time=5.171258e-03 dt=1.148590e-26
elapsed=6.141060e+04 cycle=138000 time=5.171258e-03 dt=1.170482e-26
elapsed=6.185535e+04 cycle=139000 time=5.171258e-03 dt=1.194483e-26
elapsed=6.230009e+04 cycle=140000 time=5.171258e-03 dt=1.213103e-26
elapsed=6.274486e+04 cycle=141000 time=5.171258e-03 dt=1.222473e-26
elapsed=6.318963e+04 cycle=142000 time=5.171258e-03 dt=1.232659e-26
elapsed=6.363444e+04 cycle=143000 time=5.171258e-03 dt=1.244152e-26
elapsed=6.407926e+04 cycle=144000 time=5.171258e-03 dt=1.257123e-26
elapsed=6.452411e+04 cycle=145000 time=5.171258e-03 dt=1.271628e-26
elapsed=6.496901e+04 cycle=146000 time=5.171258e-03 dt=1.287181e-26
elapsed=6.541389e+04 cycle=147000 time=5.171258e-03 dt=1.303471e-26
elapsed=6.585881e+04 cycle=148000 time=5.171258e-03 dt=1.320359e-26
elapsed=6.630375e+04 cycle=149000 time=5.171258e-03 dt=1.337624e-26
elapsed=6.674870e+04 cycle=150000 time=5.171258e-03 dt=1.355196e-26
elapsed=6.719368e+04 cycle=151000 time=5.171258e-03 dt=1.373406e-26
elapsed=6.763870e+04 cycle=152000 time=5.171258e-03 dt=1.392896e-26
elapsed=6.808374e+04 cycle=153000 time=5.171258e-03 dt=1.413665e-26
elapsed=6.852879e+04 cycle=154000 time=5.171258e-03 dt=1.434445e-26
elapsed=6.897384e+04 cycle=155000 time=5.171258e-03 dt=1.453043e-26
elapsed=6.941890e+04 cycle=156000 time=5.171258e-03 dt=1.471330e-26
elapsed=6.986398e+04 cycle=157000 time=5.171258e-03 dt=1.490929e-26
elapsed=7.030907e+04 cycle=158000 time=5.171258e-03 dt=1.512349e-26
elapsed=7.075414e+04 cycle=159000 time=5.171258e-03 dt=1.536419e-26
elapsed=7.119923e+04 cycle=160000 time=5.171258e-03 dt=1.563972e-26
elapsed=7.164429e+04 cycle=161000 time=5.171258e-03 dt=1.595858e-26
elapsed=7.208946e+04 cycle=162000 time=5.171258e-03 dt=1.634437e-26
elapsed=7.253459e+04 cycle=163000 time=5.171258e-03 dt=1.686126e-26
elapsed=7.297972e+04 cycle=164000 time=5.171258e-03 dt=1.761767e-26
elapsed=7.342489e+04 cycle=165000 time=5.171258e-03 dt=1.874985e-26
elapsed=7.387001e+04 cycle=166000 time=5.171258e-03 dt=2.042989e-26
elapsed=7.431512e+04 cycle=167000 time=5.171258e-03 dt=2.197199e-26
elapsed=7.476026e+04 cycle=168000 time=5.171258e-03 dt=2.355556e-26
elapsed=7.520537e+04 cycle=169000 time=5.171258e-03 dt=2.567129e-26
elapsed=7.565048e+04 cycle=170000 time=5.171258e-03 dt=2.848770e-26
elapsed=7.609561e+04 cycle=171000 time=5.171258e-03 dt=3.234758e-26
elapsed=7.654074e+04 cycle=172000 time=5.171258e-03 dt=3.757142e-26
elapsed=7.698591e+04 cycle=173000 time=5.171258e-03 dt=4.442106e-26
elapsed=7.743110e+04 cycle=174000 time=5.171258e-03 dt=5.279017e-26
elapsed=7.787631e+04 cycle=175000 time=5.171258e-03 dt=5.868524e-26
elapsed=7.832151e+04 cycle=176000 time=5.171258e-03 dt=6.443914e-26
elapsed=7.876669e+04 cycle=177000 time=5.171258e-03 dt=7.081603e-26
elapsed=7.921188e+04 cycle=178000 time=5.171258e-03 dt=7.836452e-26
elapsed=7.965705e+04 cycle=179000 time=5.171258e-03 dt=8.484810e-26
elapsed=8.010225e+04 cycle=180000 time=5.171258e-03 dt=9.127104e-26
elapsed=8.054742e+04 cycle=181000 time=5.171258e-03 dt=9.925084e-26
